cod;nome;ano;valor;;
43;RS;2008;181;;
14;RR;2008;4;;
11;RO;2008;8;;
24;RN;2008;15;;
33;RJ;2008;43;;
41;PR;2008;61;;
22;PI;2008;20;;
26;PE;2008;29;;
25;PB;2008;22;;
15;PA;2008;33;;
50;MS;2008;26;;
31;MG;2008;86;;
21;MA;2008;33;;
52;GO;2008;43;;
32;ES;2008;13;;
53;DF;2008;12;;
23;CE;2008;28;;
17;TO;2009;11;;
52;GO;2009;29;;
12;AC;2009;5;;
22;PI;2009;26;;
26;PE;2009;21;;
35;SP;2009;202;;
27;AL;2009;6;;
32;ES;2009;11;;
53;DF;2009;16;;
23;CE;2009;39;;
29;BA;2009;33;;
16;AP;2009;0;;
25;PB;2009;12;;
15;PA;2009;26;;
51;MT;2009;26;;
50;MS;2009;21;;
31;MG;2009;94;;
21;MA;2009;17;;
52;GO;2009;29;;
32;ES;2009;11;;
53;DF;2009;16;;
23;CE;2009;39;;
29;BA;2009;33;;
16;AP;2009;0;;
13;AM;2009;9;;
27;AL;2009;6;;
12;AC;2009;5;;
21;MA;2009;17;;
31;MG;2009;94;;
35;SP;2009;202;;
28;SE;2009;2;;
42;SC;2009;48;;
43;RS;2009;182;;
14;RR;2009;1;;
11;RO;2009;7;;
50;MS;2009;21;;
51;MT;2009;26;;
15;PA;2009;26;;
25;PB;2009;12;;
26;PE;2009;21;;
22;PI;2009;26;;
41;PR;2009;74;;
33;RJ;2009;31;;
24;RN;2009;9;;
11;RO;2009;7;;
24;RN;2009;9;;
14;RR;2009;1;;
43;RS;2009;182;;
42;SC;2009;48;;
28;SE;2009;2;;
17;TO;2009;11;;
33;RJ;2009;31;;
41;PR;2009;74;;
13;AM;2009;9;;
12;AC;2010;4;;
21;MA;2010;31;;
52;GO;2010;27;;
32;ES;2010;16;;
53;DF;2010;18;;
23;CE;2010;23;;
16;AP;2010;3;;
13;AM;2010;9;;
12;AC;2010;4;;
27;AL;2010;3;;
35;SP;2010;194;;
29;BA;2010;42;;
17;TO;2010;13;;
28;SE;2010;11;;
42;SC;2010;42;;
43;RS;2010;141;;
14;RR;2010;1;;
11;RO;2010;9;;
24;RN;2010;10;;
33;RJ;2010;39;;
41;PR;2010;49;;
22;PI;2010;15;;
26;PE;2010;25;;
25;PB;2010;13;;
15;PA;2010;16;;
51;MT;2010;17;;
50;MS;2010;12;;
31;MG;2010;85;;
17;TO;2010;13;;
35;SP;2010;194;;
28;SE;2010;11;;
42;SC;2010;42;;
43;RS;2010;141;;
14;RR;2010;1;;
11;RO;2010;9;;
24;RN;2010;10;;
33;RJ;2010;39;;
41;PR;2010;49;;
22;PI;2010;15;;
26;PE;2010;25;;
25;PB;2010;13;;
15;PA;2010;16;;
51;MT;2010;17;;
50;MS;2010;12;;
31;MG;2010;85;;
21;MA;2010;31;;
52;GO;2010;27;;
32;ES;2010;16;;
53;DF;2010;18;;
23;CE;2010;23;;
29;BA;2010;42;;
16;AP;2010;3;;
13;AM;2010;9;;
27;AL;2010;3;;
24;RN;2011;12;;
17;TO;2011;6;;
28;SE;2011;5;;
42;SC;2011;39;;
43;RS;2011;140;;
14;RR;2011;0;;
11;RO;2011;12;;
24;RN;2011;12;;
33;RJ;2011;49;;
41;PR;2011;57;;
22;PI;2011;15;;
26;PE;2011;23;;
11;RO;2011;12;;
33;RJ;2011;49;;
41;PR;2011;57;;
22;PI;2011;15;;
26;PE;2011;23;;
25;PB;2011;11;;
15;PA;2011;28;;
51;MT;2011;23;;
50;MS;2011;21;;
31;MG;2011;94;;
21;MA;2011;25;;
52;GO;2011;28;;
32;ES;2011;14;;
53;DF;2011;8;;
23;CE;2011;17;;
14;RR;2011;0;;
43;RS;2011;140;;
42;SC;2011;39;;
28;SE;2011;5;;
35;SP;2011;162;;
29;BA;2011;23;;
16;AP;2011;1;;
13;AM;2011;13;;
27;AL;2011;2;;
12;AC;2011;4;;
25;PB;2011;11;;
15;PA;2011;28;;
51;MT;2011;23;;
50;MS;2011;21;;
31;MG;2011;94;;
21;MA;2011;25;;
52;GO;2011;28;;
32;ES;2011;14;;
53;DF;2011;8;;
23;CE;2011;17;;
29;BA;2011;23;;
16;AP;2011;1;;
13;AM;2011;13;;
27;AL;2011;2;;
12;AC;2011;4;;
35;SP;2011;162;;
17;TO;2011;6;;
24;RN;2012;10;;
12;AC;2012;5;;
27;AL;2012;3;;
13;AM;2012;13;;
16;AP;2012;1;;
29;BA;2012;39;;
23;CE;2012;17;;
53;DF;2012;16;;
32;ES;2012;15;;
52;GO;2012;20;;
21;MA;2012;20;;
31;MG;2012;86;;
50;MS;2012;19;;
51;MT;2012;27;;
15;PA;2012;47;;
25;PB;2012;19;;
26;PE;2012;25;;
22;PI;2012;21;;
41;PR;2012;61;;
33;RJ;2012;35;;
24;RN;2012;10;;
11;RO;2012;9;;
14;RR;2012;2;;
43;RS;2012;151;;
42;SC;2012;39;;
28;SE;2012;5;;
35;SP;2012;162;;
17;TO;2012;13;;
12;AC;2012;5;;
27;AL;2012;3;;
13;AM;2012;13;;
16;AP;2012;1;;
29;BA;2012;39;;
23;CE;2012;17;;
53;DF;2012;16;;
32;ES;2012;15;;
52;GO;2012;20;;
21;MA;2012;20;;
31;MG;2012;86;;
50;MS;2012;19;;
51;MT;2012;27;;
25;PB;2012;19;;
26;PE;2012;25;;
22;PI;2012;21;;
41;PR;2012;61;;
33;RJ;2012;35;;
11;RO;2012;9;;
14;RR;2012;2;;
43;RS;2012;151;;
42;SC;2012;39;;
28;SE;2012;5;;
35;SP;2012;162;;
17;TO;2012;13;;
15;PA;2012;47;;
27;AL;2013;8;;
13;AM;2013;12;;
16;AP;2013;0;;
29;BA;2013;41;;
53;DF;2013;11;;
23;CE;2013;16;;
23;CE;2013;16;;
29;BA;2013;41;;
16;AP;2013;0;;
13;AM;2013;12;;
27;AL;2013;8;;
12;AC;2013;2;;
31;MG;2013;84;;
21;MA;2013;27;;
52;GO;2013;36;;
32;ES;2013;16;;
53;DF;2013;11;;
17;TO;2013;13;;
35;SP;2013;186;;
28;SE;2013;7;;
42;SC;2013;40;;
43;RS;2013;177;;
14;RR;2013;1;;
11;RO;2013;15;;
24;RN;2013;14;;
33;RJ;2013;33;;
41;PR;2013;69;;
22;PI;2013;21;;
26;PE;2013;15;;
25;PB;2013;8;;
15;PA;2013;33;;
51;MT;2013;26;;
50;MS;2013;22;;
31;MG;2013;84;;
21;MA;2013;27;;
52;GO;2013;36;;
32;ES;2013;16;;
51;MT;2013;26;;
15;PA;2013;33;;
25;PB;2013;8;;
26;PE;2013;15;;
22;PI;2013;21;;
41;PR;2013;69;;
33;RJ;2013;33;;
24;RN;2013;14;;
11;RO;2013;15;;
14;RR;2013;1;;
43;RS;2013;177;;
42;SC;2013;40;;
28;SE;2013;7;;
35;SP;2013;186;;
17;TO;2013;13;;
50;MS;2013;22;;
12;AC;2013;2;;
