cod;nome;ano;valor;;;;;;;;;;
15;PA;2015;3675;;;;;;;;;;
52;GO;2015;2997;;;;;;;;;;
43;RS;2015;2944;;;;;;;;;;
41;PR;2015;2936;;;;;;;;;;
21;MA;2015;2438;;;;;;;;;;
27;AL;2015;1748;;;;;;;;;;
24;RN;2015;1545;;;;;;;;;;
25;PB;2015;1522;;;;;;;;;;
13;AM;2015;1472;;;;;;;;;;
32;ES;2015;1450;;;;;;;;;;
28;SE;2015;1303;;;;;;;;;;
51;MT;2015;1203;;;;;;;;;;
42;SC;2015;957;;;;;;;;;;
53;DF;2015;742;;;;;;;;;;
22;PI;2015;650;;;;;;;;;;
50;MS;2015;634;;;;;;;;;;
11;RO;2015;600;;;;;;;;;;
17;TO;2015;503;;;;;;;;;;
16;AP;2015;293;;;;;;;;;;
12;AC;2015;217;;;;;;;;;;
14;RR;2015;203;;;;;;;;;;
35;SP;2014;6185;;;;;;;;;;
29;BA;2014;6052;;;;;;;;;;
33;RJ;2014;5718;;;;;;;;;;
31;MG;2014;4724;;;;;;;;;;
23;CE;2014;4626;;;;;;;;;;
15;PA;2014;3446;;;;;;;;;;
26;PE;2014;3358;;;;;;;;;;
41;PR;2014;2980;;;;;;;;;;
52;GO;2014;2887;;;;;;;;;;
43;RS;2014;2724;;;;;;;;;;
21;MA;2014;2462;;;;;;;;;;
27;AL;2014;2085;;;;;;;;;;
32;ES;2014;1609;;;;;;;;;;
24;RN;2014;1602;;;;;;;;;;
25;PB;2014;1551;;;;;;;;;;
51;MT;2014;1358;;;;;;;;;;
13;AM;2014;1240;;;;;;;;;;
28;SE;2014;1097;;;;;;;;;;
42;SC;2014;905;;;;;;;;;;
53;DF;2014;843;;;;;;;;;;
22;PI;2014;717;;;;;;;;;;
50;MS;2014;700;;;;;;;;;;
11;RO;2014;578;;;;;;;;;;
17;TO;2014;381;;;;;;;;;;
16;AP;2014;256;;;;;;;;;;
12;AC;2014;232;;;;;;;;;;
14;RR;2014;158;;;;;;;;;;
35;SP;2013;6035;;;;;;;;;;
29;BA;2013;5694;;;;;;;;;;
33;RJ;2013;5111;;;;;;;;;;
31;MG;2013;4717;;;;;;;;;;
23;CE;2013;4473;;;;;;;;;;
15;PA;2013;3405;;;;;;;;;;
26;PE;2013;3124;;;;;;;;;;
52;GO;2013;2975;;;;;;;;;;
41;PR;2013;2936;;;;;;;;;;
43;RS;2013;2322;;;;;;;;;;
21;MA;2013;2163;;;;;;;;;;
27;AL;2013;2148;;;;;;;;;;
32;ES;2013;1622;;;;;;;;;;
25;PB;2013;1551;;;;;;;;;;
24;RN;2013;1447;;;;;;;;;;
13;AM;2013;1191;;;;;;;;;;
51;MT;2013;1158;;;;;;;;;;
28;SE;2013;965;;;;;;;;;;
53;DF;2013;837;;;;;;;;;;
42;SC;2013;789;;;;;;;;;;
50;MS;2013;630;;;;;;;;;;
22;PI;2013;598;;;;;;;;;;
11;RO;2013;483;;;;;;;;;;
17;TO;2013;349;;;;;;;;;;
12;AC;2013;234;;;;;;;;;;
16;AP;2013;225;;;;;;;;;;
14;RR;2013;214;;;;;;;;;;
35;SP;2012;6566;;;;;;;;;;
29;BA;2012;6148;;;;;;;;;;
33;RJ;2012;4772;;;;;;;;;;
31;MG;2012;4562;;;;;;;;;;
23;CE;2012;3841;;;;;;;;;;
41;PR;2012;3489;;;;;;;;;;
26;PE;2012;3327;;;;;;;;;;
15;PA;2012;3236;;;;;;;;;;
52;GO;2012;2793;;;;;;;;;;
43;RS;2012;2382;;;;;;;;;;
27;AL;2012;2046;;;;;;;;;;
21;MA;2012;1777;;;;;;;;;;
32;ES;2012;1667;;;;;;;;;;
25;PB;2012;1525;;;;;;;;;;
13;AM;2012;1344;;;;;;;;;;
24;RN;2012;1124;;;;;;;;;;
51;MT;2012;1074;;;;;;;;;;
53;DF;2012;954;;;;;;;;;;
28;SE;2012;879;;;;;;;;;;
42;SC;2012;821;;;;;;;;;;
50;MS;2012;683;;;;;;;;;;
11;RO;2012;526;;;;;;;;;;
22;PI;2012;525;;;;;;;;;;
17;TO;2012;379;;;;;;;;;;
16;AP;2012;253;;;;;;;;;;
12;AC;2012;208;;;;;;;;;;
14;RR;2012;144;;;;;;;;;;
35;SP;2011;5842;;;;;;;;;;
29;BA;2011;5549;;;;;;;;;;
33;RJ;2011;4781;;;;;;;;;;
31;MG;2011;4262;;;;;;;;;;
26;PE;2011;3471;;;;;;;;;;
41;PR;2011;3376;;;;;;;;;;
15;PA;2011;3073;;;;;;;;;;
23;CE;2011;2792;;;;;;;;;;
52;GO;2011;2272;;;;;;;;;;
27;AL;2011;2244;;;;;;;;;;
43;RS;2011;2077;;;;;;;;;;
32;ES;2011;1672;;;;;;;;;;
25;PB;2011;1614;;;;;;;;;;
21;MA;2011;1591;;;;;;;;;;
13;AM;2011;1292;;;;;;;;;;
24;RN;2011;1054;;;;;;;;;;
51;MT;2011;1009;;;;;;;;;;
53;DF;2011;902;;;;;;;;;;
42;SC;2011;811;;;;;;;;;;
28;SE;2011;731;;;;;;;;;;
50;MS;2011;673;;;;;;;;;;
11;RO;2011;450;;;;;;;;;;
22;PI;2011;440;;;;;;;;;;
17;TO;2011;361;;;;;;;;;;
16;AP;2011;209;;;;;;;;;;
12;AC;2011;164;;;;;;;;;;
14;RR;2011;95;;;;;;;;;;
35;SP;2010;6039;;;;;;;;;;
29;BA;2010;5844;;;;;;;;;;
33;RJ;2010;5667;;;;;;;;;;
31;MG;2010;3646;;;;;;;;;;
41;PR;2010;3586;;;;;;;;;;
15;PA;2010;3521;;;;;;;;;;
26;PE;2010;3473;;;;;;;;;;
23;CE;2010;2688;;;;;;;;;;
27;AL;2010;2087;;;;;;;;;;
43;RS;2010;2085;;;;;;;;;;
52;GO;2010;1979;;;;;;;;;;
32;ES;2010;1792;;;;;;;;;;
21;MA;2010;1519;;;;;;;;;;
25;PB;2010;1455;;;;;;;;;;
13;AM;2010;1082;;;;;;;;;;
51;MT;2010;972;;;;;;;;;;
42;SC;2010;823;;;;;;;;;;
24;RN;2010;810;;;;;;;;;;
53;DF;2010;786;;;;;;;;;;
28;SE;2010;676;;;;;;;;;;
50;MS;2010;656;;;;;;;;;;
11;RO;2010;546;;;;;;;;;;
22;PI;2010;411;;;;;;;;;;
17;TO;2010;327;;;;;;;;;;
16;AP;2010;260;;;;;;;;;;
12;AC;2010;165;;;;;;;;;;
14;RR;2010;121;;;;;;;;;;
35;SP;2009;6557;;;;;;;;;;
29;BA;2009;5432;;;;;;;;;;
33;RJ;2009;5365;;;;;;;;;;
26;PE;2009;3963;;;;;;;;;;
31;MG;2009;3742;;;;;;;;;;
41;PR;2009;3698;;;;;;;;;;
15;PA;2009;2989;;;;;;;;;;
43;RS;2009;2242;;;;;;;;;;
23;CE;2009;2165;;;;;;;;;;
32;ES;2009;1985;;;;;;;;;;
52;GO;2009;1902;;;;;;;;;;
27;AL;2009;1873;;;;;;;;;;
21;MA;2009;1398;;;;;;;;;;
25;PB;2009;1263;;;;;;;;;;
51;MT;2009;1000;;;;;;;;;;
13;AM;2009;916;;;;;;;;;;
53;DF;2009;882;;;;;;;;;;
42;SC;2009;820;;;;;;;;;;
24;RN;2009;800;;;;;;;;;;
50;MS;2009;725;;;;;;;;;;
28;SE;2009;653;;;;;;;;;;
11;RO;2009;538;;;;;;;;;;
22;PI;2009;385;;;;;;;;;;
17;TO;2009;289;;;;;;;;;;
16;AP;2009;190;;;;;;;;;;
12;AC;2009;153;;;;;;;;;;
14;RR;2009;118;;;;;;;;;;
35;SP;2008;6332;;;;;;;;;;
33;RJ;2008;5662;;;;;;;;;;
29;BA;2008;4819;;;;;;;;;;
26;PE;2008;4446;;;;;;;;;;
31;MG;2008;3889;;;;;;;;;;
41;PR;2008;3445;;;;;;;;;;
15;PA;2008;2860;;;;;;;;;;
43;RS;2008;2380;;;;;;;;;;
23;CE;2008;2019;;;;;;;;;;
32;ES;2008;1947;;;;;;;;;;
27;AL;2008;1887;;;;;;;;;;
52;GO;2008;1792;;;;;;;;;;
21;MA;2008;1277;;;;;;;;;;
25;PB;2008;1029;;;;;;;;;;
51;MT;2008;937;;;;;;;;;;
13;AM;2008;830;;;;;;;;;;
53;DF;2008;812;;;;;;;;;;
42;SC;2008;802;;;;;;;;;;
24;RN;2008;714;;;;;;;;;;
50;MS;2008;699;;;;;;;;;;
28;SE;2008;555;;;;;;;;;;
11;RO;2008;480;;;;;;;;;;
22;PI;2008;361;;;;;;;;;;
17;TO;2008;237;;;;;;;;;;
16;AP;2008;210;;;;;;;;;;
12;AC;2008;133;;;;;;;;;;
14;RR;2008;105;;;;;;;;;;
33;RJ;2007;6551;;;;;;;;;;
35;SP;2007;6437;;;;;;;;;;
26;PE;2007;4557;;;;;;;;;;
31;MG;2007;4125;;;;;;;;;;
29;BA;2007;3659;;;;;;;;;;
41;PR;2007;3105;;;;;;;;;;
43;RS;2007;2199;;;;;;;;;;
15;PA;2007;2194;;;;;;;;;;
23;CE;2007;1933;;;;;;;;;;
32;ES;2007;1877;;;;;;;;;;
27;AL;2007;1836;;;;;;;;;;
52;GO;2007;1521;;;;;;;;;;
21;MA;2007;1127;;;;;;;;;;
51;MT;2007;889;;;;;;;;;;
25;PB;2007;864;;;;;;;;;;
13;AM;2007;715;;;;;;;;;;
53;DF;2007;711;;;;;;;;;;
50;MS;2007;710;;;;;;;;;;
42;SC;2007;632;;;;;;;;;;
24;RN;2007;589;;;;;;;;;;
28;SE;2007;522;;;;;;;;;;
11;RO;2007;432;;;;;;;;;;
22;PI;2007;383;;;;;;;;;;
17;TO;2007;226;;;;;;;;;;
16;AP;2007;172;;;;;;;;;;
12;AC;2007;137;;;;;;;;;;
14;RR;2007;116;;;;;;;;;;
35;SP;2006;8377;;;;;;;;;;
33;RJ;2006;7389;;;;;;;;;;
26;PE;2006;4472;;;;;;;;;;
31;MG;2006;4177;;;;;;;;;;
29;BA;2006;3311;;;;;;;;;;
41;PR;2006;3098;;;;;;;;;;
15;PA;2006;2073;;;;;;;;;;
43;RS;2006;1983;;;;;;;;;;
23;CE;2006;1792;;;;;;;;;;
32;ES;2006;1762;;;;;;;;;;
27;AL;2006;1620;;;;;;;;;;
52;GO;2006;1509;;;;;;;;;;
21;MA;2006;969;;;;;;;;;;
51;MT;2006;896;;;;;;;;;;
25;PB;2006;825;;;;;;;;;;
13;AM;2006;699;;;;;;;;;;
50;MS;2006;683;;;;;;;;;;
42;SC;2006;666;;;;;;;;;;
53;DF;2006;660;;;;;;;;;;
11;RO;2006;585;;;;;;;;;;
28;SE;2006;585;;;;;;;;;;
24;RN;2006;455;;;;;;;;;;
22;PI;2006;418;;;;;;;;;;
17;TO;2006;229;;;;;;;;;;
16;AP;2006;202;;;;;;;;;;
12;AC;2006;158;;;;;;;;;;
14;RR;2006;111;;;;;;;;;;
35;SP;2005;8870;;;;;;;;;;
33;RJ;2005;7408;;;;;;;;;;
26;PE;2005;4330;;;;;;;;;;
31;MG;2005;4223;;;;;;;;;;
41;PR;2005;2977;;;;;;;;;;
29;BA;2005;2881;;;;;;;;;;
43;RS;2005;2021;;;;;;;;;;
15;PA;2005;1926;;;;;;;;;;
23;CE;2005;1699;;;;;;;;;;
32;ES;2005;1602;;;;;;;;;;
52;GO;2005;1468;;;;;;;;;;
27;AL;2005;1203;;;;;;;;;;
21;MA;2005;935;;;;;;;;;;
51;MT;2005;907;;;;;;;;;;
25;PB;2005;745;;;;;;;;;;
