cod;nome;ano;valor;;;
23;CE;2011;1647;;;
53;DF;2011;784;;;
32;ES;2011;1209;;;
52;GO;2011;1721;;;
21;MA;2011;1364;;;
31;MG;2011;2906;;;
50;MS;2011;416;;;
51;MT;2011;740;;;
15;PA;2011;2787;;;
25;PB;2011;1441;;;
26;PE;2011;3013;;;
22;PI;2011;355;;;
41;PR;2011;654;;;
33;RJ;2011;3161;;;
24;RN;2011;813;;;
11;RO;2011;321;;;
14;RR;2011;74;;;
43;RS;2011;448;;;
42;SC;2011;128;;;
28;SE;2011;671;;;
35;SP;2011;2473;;;
17;TO;2011;288;;;
12;AC;2011;99;;;
27;AL;2011;2013;;;
13;AM;2011;1131;;;
16;AP;2011;179;;;
29;BA;2011;4780;;;
53;DF;2011;784;;;
32;ES;2011;1209;;;
31;MG;2011;2906;;;
50;MS;2011;416;;;
51;MT;2011;740;;;
15;PA;2011;2787;;;
25;PB;2011;1441;;;
26;PE;2011;3013;;;
22;PI;2011;355;;;
41;PR;2011;654;;;
33;RJ;2011;3161;;;
24;RN;2011;813;;;
11;RO;2011;321;;;
14;RR;2011;74;;;
43;RS;2011;448;;;
28;SE;2011;671;;;
35;SP;2011;2473;;;
17;TO;2011;288;;;
52;GO;2011;1721;;;
21;MA;2011;1364;;;
42;SC;2011;128;;;
41;PR;2012;758;;;
22;PI;2012;453;;;
26;PE;2012;2991;;;
25;PB;2012;1295;;;
32;ES;2012;1342;;;
52;GO;2012;2134;;;
21;MA;2012;1555;;;
31;MG;2012;3200;;;
32;ES;2012;1342;;;
52;GO;2012;2134;;;
35;SP;2012;2885;;;
28;SE;2012;800;;;
42;SC;2012;174;;;
43;RS;2012;514;;;
14;RR;2012;100;;;
11;RO;2012;374;;;
24;RN;2012;861;;;
15;PA;2012;2942;;;
50;MS;2012;447;;;
21;MA;2012;1555;;;
31;MG;2012;3200;;;
50;MS;2012;447;;;
51;MT;2012;794;;;
12;AC;2012;171;;;
27;AL;2012;1905;;;
13;AM;2012;1183;;;
16;AP;2012;215;;;
29;BA;2012;5358;;;
23;CE;2012;1921;;;
51;MT;2012;794;;;
15;PA;2012;2942;;;
25;PB;2012;1295;;;
26;PE;2012;2991;;;
22;PI;2012;453;;;
41;PR;2012;758;;;
33;RJ;2012;3228;;;
53;DF;2012;849;;;
12;AC;2012;171;;;
27;AL;2012;1905;;;
13;AM;2012;1183;;;
16;AP;2012;215;;;
29;BA;2012;5358;;;
23;CE;2012;1921;;;
53;DF;2012;849;;;
28;SE;2012;800;;;
35;SP;2012;2885;;;
17;TO;2012;306;;;
42;SC;2012;174;;;
43;RS;2012;514;;;
14;RR;2012;100;;;
11;RO;2012;374;;;
24;RN;2012;861;;;
33;RJ;2012;3228;;;
17;TO;2012;306;;;
12;AC;2013;194;;;
28;SE;2013;877;;;
42;SC;2013;117;;;
12;AC;2013;194;;;
27;AL;2013;1962;;;
13;AM;2013;1026;;;
16;AP;2013;177;;;
29;BA;2013;5072;;;
23;CE;2013;2213;;;
53;DF;2013;747;;;
32;ES;2013;1311;;;
52;GO;2013;2268;;;
21;MA;2013;1895;;;
31;MG;2013;3350;;;
50;MS;2013;400;;;
51;MT;2013;860;;;
15;PA;2013;3025;;;
25;PB;2013;1292;;;
26;PE;2013;2796;;;
22;PI;2013;489;;;
41;PR;2013;599;;;
33;RJ;2013;3492;;;
24;RN;2013;1124;;;
11;RO;2013;316;;;
14;RR;2013;137;;;
43;RS;2013;487;;;
35;SP;2013;2676;;;
17;TO;2013;267;;;
17;TO;2013;267;;;
35;SP;2013;2676;;;
28;SE;2013;877;;;
42;SC;2013;117;;;
43;RS;2013;487;;;
14;RR;2013;137;;;
11;RO;2013;316;;;
24;RN;2013;1124;;;
33;RJ;2013;3492;;;
41;PR;2013;599;;;
22;PI;2013;489;;;
26;PE;2013;2796;;;
25;PB;2013;1292;;;
15;PA;2013;3025;;;
51;MT;2013;860;;;
50;MS;2013;400;;;
31;MG;2013;3350;;;
21;MA;2013;1895;;;
52;GO;2013;2268;;;
32;ES;2013;1311;;;
53;DF;2013;747;;;
23;CE;2013;2213;;;
29;BA;2013;5072;;;
16;AP;2013;177;;;
13;AM;2013;1026;;;
27;AL;2013;1962;;;
52;GO;2014;2198;;;
12;AC;2014;187;;;
27;AL;2014;1947;;;
13;AM;2014;1102;;;
16;AP;2014;232;;;
29;BA;2014;5419;;;
23;CE;2014;2507;;;
53;DF;2014;710;;;
32;ES;2014;1316;;;
52;GO;2014;2198;;;
21;MA;2014;2179;;;
31;MG;2014;3412;;;
50;MS;2014;432;;;
25;PB;2014;1342;;;
26;PE;2014;2907;;;
22;PI;2014;589;;;
41;PR;2014;604;;;
33;RJ;2014;3954;;;
24;RN;2014;1304;;;
11;RO;2014;424;;;
14;RR;2014;93;;;
43;RS;2014;628;;;
42;SC;2014;159;;;
28;SE;2014;1003;;;
35;SP;2014;2840;;;
17;TO;2014;296;;;
15;PA;2014;3135;;;
51;MT;2014;1022;;;
12;AC;2014;187;;;
27;AL;2014;1947;;;
13;AM;2014;1102;;;
16;AP;2014;232;;;
29;BA;2014;5419;;;
23;CE;2014;2507;;;
53;DF;2014;710;;;
32;ES;2014;1316;;;
21;MA;2014;2179;;;
31;MG;2014;3412;;;
50;MS;2014;432;;;
51;MT;2014;1022;;;
15;PA;2014;3135;;;
25;PB;2014;1342;;;
26;PE;2014;2907;;;
22;PI;2014;589;;;
41;PR;2014;604;;;
33;RJ;2014;3954;;;
24;RN;2014;1304;;;
11;RO;2014;424;;;
14;RR;2014;93;;;
43;RS;2014;628;;;
42;SC;2014;159;;;
28;SE;2014;1003;;;
35;SP;2014;2840;;;
17;TO;2014;296;;;
12;AC;2015;183;;;
17;TO;2015;381;;;
35;SP;2015;2537;;;
28;SE;2015;1221;;;
42;SC;2015;203;;;
43;RS;2015;656;;;
14;RR;2015;148;;;
11;RO;2015;446;;;
24;RN;2015;1283;;;
33;RJ;2015;3517;;;
41;PR;2015;660;;;
22;PI;2015;544;;;
26;PE;2015;3373;;;
25;PB;2015;1306;;;
15;PA;2015;3375;;;
51;MT;2015;931;;;
50;MS;2015;405;;;
31;MG;2015;3300;;;
27;AL;2015;1656;;;
13;AM;2015;1338;;;
