cod;nome;ano;valor;;
42;SC;2000;380;;
43;RS;2000;1491;;
50;MS;2000;577;;
51;MT;2000;909;;
52;GO;2000;940;;
53;DF;2000;644;;
11;RO;2000;419;;
12;AC;2000;93;;
13;AM;2000;516;;
14;RR;2000;108;;
15;PA;2000;743;;
16;AP;2000;152;;
17;TO;2000;160;;
21;MA;2000;320;;
22;PI;2000;214;;
23;CE;2000;1131;;
24;RN;2000;235;;
25;PB;2000;463;;
26;PE;2000;3980;;
27;AL;2000;663;;
28;SE;2000;373;;
29;BA;2000;1108;;
31;MG;2000;1857;;
32;ES;2000;1322;;
33;RJ;2000;6795;;
35;SP;2000;14441;;
41;PR;2000;1623;;
42;SC;2000;380;;
43;RS;2000;1491;;
50;MS;2000;577;;
51;MT;2000;909;;
52;GO;2000;940;;
53;DF;2000;644;;
11;RO;2001;508;;
12;AC;2001;109;;
13;AM;2001;430;;
14;RR;2001;101;;
15;PA;2001;869;;
16;AP;2001;170;;
17;TO;2001;189;;
21;MA;2001;509;;
22;PI;2001;226;;
23;CE;2001;1170;;
24;RN;2001;297;;
25;PB;2001;439;;
26;PE;2001;4409;;
27;AL;2001;775;;
28;SE;2001;487;;
29;BA;2001;1500;;
31;MG;2001;2124;;
32;ES;2001;1319;;
33;RJ;2001;6767;;
35;SP;2001;14669;;
41;PR;2001;1852;;
42;SC;2001;417;;
43;RS;2001;1674;;
50;MS;2001;555;;
51;MT;2001;880;;
52;GO;2001;1035;;
53;DF;2001;649;;
53;DF;2001;649;;
52;GO;2001;1035;;
51;MT;2001;880;;
50;MS;2001;555;;
43;RS;2001;1674;;
42;SC;2001;417;;
41;PR;2001;1852;;
35;SP;2001;14669;;
33;RJ;2001;6767;;
32;ES;2001;1319;;
31;MG;2001;2124;;
29;BA;2001;1500;;
28;SE;2001;487;;
27;AL;2001;775;;
26;PE;2001;4409;;
25;PB;2001;439;;
24;RN;2001;297;;
23;CE;2001;1170;;
22;PI;2001;226;;
21;MA;2001;509;;
17;TO;2001;189;;
16;AP;2001;170;;
15;PA;2001;869;;
14;RR;2001;101;;
13;AM;2001;430;;
12;AC;2001;109;;
11;RO;2001;508;;
53;DF;2002;591;;
52;GO;2002;1225;;
51;MT;2002;856;;
50;MS;2002;605;;
43;RS;2002;1714;;
42;SC;2002;510;;
41;PR;2002;2061;;
35;SP;2002;13471;;
33;RJ;2002;7748;;
32;ES;2002;1494;;
31;MG;2002;2700;;
29;BA;2002;1634;;
28;SE;2002;519;;
27;AL;2002;921;;
26;PE;2002;4118;;
