cod;nome;ano;valor;;
23;CE;1995;55;;
24;RN;1995;30;;
25;PB;1995;66;;
26;PE;1995;205;;
27;AL;1995;62;;
28;SE;1995;27;;
29;BA;1995;165;;
31;MG;1995;145;;
32;ES;1995;123;;
33;RJ;1995;587;;
35;SP;1995;959;;
41;PR;1995;163;;
42;SC;1995;48;;
43;RS;1995;151;;
50;MS;1995;51;;
51;MT;1995;66;;
52;GO;1995;129;;
53;DF;1995;57;;
41;PR;1996;154;;
11;RO;1996;43;;
12;AC;1996;15;;
13;AM;1996;33;;
14;RR;1996;18;;
15;PA;1996;78;;
16;AP;1996;16;;
17;TO;1996;21;;
21;MA;1996;31;;
22;PI;1996;14;;
23;CE;1996;84;;
24;RN;1996;35;;
25;PB;1996;106;;
26;PE;1996;245;;
27;AL;1996;70;;
28;SE;1996;30;;
29;BA;1996;176;;
31;MG;1996;185;;
32;ES;1996;123;;
33;RJ;1996;651;;
35;SP;1996;959;;
41;PR;1996;154;;
42;SC;1996;67;;
43;RS;1996;192;;
50;MS;1996;79;;
51;MT;1996;87;;
52;GO;1996;119;;
53;DF;1996;52;;
11;RO;1996;43;;
12;AC;1996;15;;
13;AM;1996;33;;
14;RR;1996;18;;
15;PA;1996;78;;
16;AP;1996;16;;
17;TO;1996;21;;
21;MA;1996;31;;
22;PI;1996;14;;
23;CE;1996;84;;
24;RN;1996;35;;
25;PB;1996;106;;
26;PE;1996;245;;
27;AL;1996;70;;
28;SE;1996;30;;
29;BA;1996;176;;
31;MG;1996;185;;
32;ES;1996;123;;
33;RJ;1996;651;;
35;SP;1996;959;;
42;SC;1996;67;;
43;RS;1996;192;;
50;MS;1996;79;;
51;MT;1996;87;;
52;GO;1996;119;;
53;DF;1996;52;;
52;GO;1997;94;;
12;AC;1997;14;;
13;AM;1997;33;;
14;RR;1997;10;;
15;PA;1997;76;;
16;AP;1997;12;;
17;TO;1997;19;;
21;MA;1997;46;;
22;PI;1997;13;;
23;CE;1997;85;;
24;RN;1997;27;;
25;PB;1997;42;;
26;PE;1997;243;;
27;AL;1997;62;;
28;SE;1997;18;;
29;BA;1997;175;;
31;MG;1997;179;;
32;ES;1997;128;;
33;RJ;1997;646;;
35;SP;1997;1028;;
41;PR;1997;157;;
42;SC;1997;51;;
43;RS;1997;190;;
50;MS;1997;71;;
51;MT;1997;88;;
52;GO;1997;94;;
53;DF;1997;48;;
11;RO;1997;33;;
12;AC;1997;14;;
13;AM;1997;33;;
14;RR;1997;10;;
15;PA;1997;76;;
16;AP;1997;12;;
17;TO;1997;19;;
21;MA;1997;46;;
22;PI;1997;13;;
23;CE;1997;85;;
24;RN;1997;27;;
25;PB;1997;42;;
26;PE;1997;243;;
27;AL;1997;62;;
28;SE;1997;18;;
29;BA;1997;175;;
31;MG;1997;179;;
32;ES;1997;128;;
33;RJ;1997;646;;
35;SP;1997;1028;;
11;RO;1997;33;;
41;PR;1997;157;;
42;SC;1997;51;;
43;RS;1997;190;;
50;MS;1997;71;;
51;MT;1997;88;;
53;DF;1997;48;;
11;RO;1998;45;;
11;RO;1998;45;;
12;AC;1998;12;;
13;AM;1998;52;;
14;RR;1998;12;;
15;PA;1998;67;;
16;AP;1998;12;;
17;TO;1998;19;;
21;MA;1998;30;;
22;PI;1998;20;;
23;CE;1998;56;;
24;RN;1998;20;;
25;PB;1998;41;;
26;PE;1998;277;;
27;AL;1998;45;;
28;SE;1998;13;;
29;BA;1998;101;;
31;MG;1998;201;;
32;ES;1998;163;;
33;RJ;1998;560;;
35;SP;1998;1034;;
41;PR;1998;178;;
42;SC;1998;69;;
43;RS;1998;181;;
50;MS;1998;73;;
51;MT;1998;93;;
52;GO;1998;76;;
53;DF;1998;54;;
12;AC;1998;12;;
53;DF;1998;54;;
52;GO;1998;76;;
51;MT;1998;93;;
50;MS;1998;73;;
43;RS;1998;181;;
42;SC;1998;69;;
41;PR;1998;178;;
35;SP;1998;1034;;
33;RJ;1998;560;;
32;ES;1998;163;;
31;MG;1998;201;;
29;BA;1998;101;;
28;SE;1998;13;;
27;AL;1998;45;;
26;PE;1998;277;;
25;PB;1998;41;;
24;RN;1998;20;;
23;CE;1998;56;;
22;PI;1998;20;;
21;MA;1998;30;;
17;TO;1998;19;;
16;AP;1998;12;;
15;PA;1998;67;;
14;RR;1998;12;;
13;AM;1998;52;;
53;DF;1999;60;;
11;RO;1999;38;;
12;AC;1999;7;;
13;AM;1999;51;;
14;RR;1999;15;;
15;PA;1999;39;;
16;AP;1999;17;;
17;TO;1999;16;;
21;MA;1999;27;;
22;PI;1999;7;;
23;CE;1999;91;;
24;RN;1999;24;;
25;PB;1999;34;;
26;PE;1999;265;;
27;AL;1999;55;;
28;SE;1999;40;;
29;BA;1999;88;;
31;MG;1999;222;;
32;ES;1999;128;;
33;RJ;1999;543;;
35;SP;1999;1123;;
41;PR;1999;182;;
42;SC;1999;50;;
43;RS;1999;163;;
50;MS;1999;63;;
51;MT;1999;71;;
52;GO;1999;117;;
53;DF;1999;60;;
52;GO;1999;117;;
51;MT;1999;71;;
50;MS;1999;63;;
43;RS;1999;163;;
42;SC;1999;50;;
41;PR;1999;182;;
35;SP;1999;1123;;
33;RJ;1999;543;;
32;ES;1999;128;;
31;MG;1999;222;;
29;BA;1999;88;;
28;SE;1999;40;;
27;AL;1999;55;;
26;PE;1999;265;;
25;PB;1999;34;;
24;RN;1999;24;;
23;CE;1999;91;;
22;PI;1999;7;;
21;MA;1999;27;;
17;TO;1999;16;;
16;AP;1999;17;;
15;PA;1999;39;;
14;RR;1999;15;;
13;AM;1999;51;;
12;AC;1999;7;;
11;RO;1999;38;;
11;RO;2000;46;;
12;AC;2000;13;;
13;AM;2000;36;;
14;RR;2000;22;;
15;PA;2000;63;;
16;AP;2000;4;;
17;TO;2000;16;;
21;MA;2000;32;;
22;PI;2000;14;;
23;CE;2000;106;;
24;RN;2000;22;;
25;PB;2000;44;;
26;PE;2000;310;;
27;AL;2000;64;;
28;SE;2000;37;;
29;BA;2000;132;;
31;MG;2000;252;;
32;ES;2000;113;;
33;RJ;2000;540;;
35;SP;2000;1150;;
41;PR;2000;164;;
42;SC;2000;53;;
43;RS;2000;175;;
50;MS;2000;72;;
51;MT;2000;81;;
52;GO;2000;142;;
53;DF;2000;41;;
11;RO;2000;46;;
12;AC;2000;13;;
13;AM;2000;36;;
14;RR;2000;22;;
15;PA;2000;63;;
16;AP;2000;4;;
17;TO;2000;16;;
21;MA;2000;32;;
22;PI;2000;14;;
23;CE;2000;106;;
24;RN;2000;22;;
25;PB;2000;44;;
26;PE;2000;310;;
27;AL;2000;64;;
28;SE;2000;37;;
29;BA;2000;132;;
31;MG;2000;252;;
32;ES;2000;113;;
33;RJ;2000;540;;
35;SP;2000;1150;;
41;PR;2000;164;;
42;SC;2000;53;;
43;RS;2000;175;;
50;MS;2000;72;;
51;MT;2000;81;;
52;GO;2000;142;;
53;DF;2000;41;;
11;RO;2001;65;;
12;AC;2001;12;;
13;AM;2001;55;;
14;RR;2001;7;;
15;PA;2001;97;;
16;AP;2001;12;;
17;TO;2001;23;;
21;MA;2001;54;;
22;PI;2001;35;;
23;CE;2001;114;;
24;RN;2001;24;;
25;PB;2001;45;;
26;PE;2001;294;;
27;AL;2001;54;;
28;SE;2001;31;;
29;BA;2001;122;;
31;MG;2001;241;;
32;ES;2001;132;;
33;RJ;2001;566;;
35;SP;2001;1100;;
41;PR;2001;197;;
42;SC;2001;60;;
43;RS;2001;180;;
50;MS;2001;64;;
51;MT;2001;92;;
52;GO;2001;131;;
53;DF;2001;44;;
53;DF;2001;44;;
52;GO;2001;131;;
51;MT;2001;92;;
50;MS;2001;64;;
43;RS;2001;180;;
42;SC;2001;60;;
41;PR;2001;197;;
35;SP;2001;1100;;
33;RJ;2001;566;;
32;ES;2001;132;;
31;MG;2001;241;;
29;BA;2001;122;;
28;SE;2001;31;;
27;AL;2001;54;;
26;PE;2001;294;;
25;PB;2001;45;;
24;RN;2001;24;;
23;CE;2001;114;;
22;PI;2001;35;;
21;MA;2001;54;;
17;TO;2001;23;;
16;AP;2001;12;;
15;PA;2001;97;;
14;RR;2001;7;;
13;AM;2001;55;;
12;AC;2001;12;;
11;RO;2001;65;;
53;DF;2002;50;;
52;GO;2002;145;;
51;MT;2002;92;;
50;MS;2002;77;;
43;RS;2002;198;;
42;SC;2002;75;;
41;PR;2002;204;;
35;SP;2002;1053;;
33;RJ;2002;560;;
32;ES;2002;149;;
31;MG;2002;294;;
29;BA;2002;123;;
28;SE;2002;37;;
27;AL;2002;70;;
26;PE;2002;274;;
25;PB;2002;46;;
24;RN;2002;23;;
23;CE;2002;125;;
22;PI;2002;27;;
21;MA;2002;39;;
17;TO;2002;20;;
16;AP;2002;12;;
15;PA;2002;73;;
14;RR;2002;12;;
13;AM;2002;35;;
12;AC;2002;11;;
11;RO;2002;44;;
53;DF;2002;50;;
52;GO;2002;145;;
51;MT;2002;92;;
50;MS;2002;77;;
43;RS;2002;198;;
42;SC;2002;75;;
41;PR;2002;204;;
35;SP;2002;1053;;
33;RJ;2002;560;;
32;ES;2002;149;;
31;MG;2002;294;;
29;BA;2002;123;;
28;SE;2002;37;;
27;AL;2002;70;;
26;PE;2002;274;;
25;PB;2002;46;;
24;RN;2002;23;;
23;CE;2002;125;;
22;PI;2002;27;;
21;MA;2002;39;;
17;TO;2002;20;;
16;AP;2002;12;;
15;PA;2002;73;;
14;RR;2002;12;;
13;AM;2002;35;;
12;AC;2002;11;;
11;RO;2002;44;;
53;DF;2003;62;;
52;GO;2003;143;;
51;MT;2003;90;;
50;MS;2003;64;;
43;RS;2003;177;;
42;SC;2003;70;;
41;PR;2003;227;;
35;SP;2003;1029;;
33;RJ;2003;527;;
32;ES;2003;141;;
31;MG;2003;376;;
29;BA;2003;152;;
28;SE;2003;34;;
27;AL;2003;67;;
26;PE;2003;274;;
25;PB;2003;35;;
24;RN;2003;32;;
23;CE;2003;103;;
22;PI;2003;32;;
21;MA;2003;69;;
17;TO;2003;22;;
16;AP;2003;15;;
15;PA;2003;93;;
14;RR;2003;6;;
13;AM;2003;35;;
12;AC;2003;15;;
11;RO;2003;51;;
12;AC;2003;15;;
13;AM;2003;35;;
14;RR;2003;6;;
15;PA;2003;93;;
16;AP;2003;15;;
17;TO;2003;22;;
21;MA;2003;69;;
22;PI;2003;32;;
23;CE;2003;103;;
24;RN;2003;32;;
25;PB;2003;35;;
26;PE;2003;274;;
27;AL;2003;67;;
28;SE;2003;34;;
11;RO;2003;51;;
29;BA;2003;152;;
31;MG;2003;376;;
32;ES;2003;141;;
33;RJ;2003;527;;
35;SP;2003;1029;;
41;PR;2003;227;;
42;SC;2003;70;;
43;RS;2003;177;;
50;MS;2003;64;;
51;MT;2003;90;;
52;GO;2003;143;;
53;DF;2003;62;;
26;PE;2004;276;;
11;RO;2004;33;;
12;AC;2004;10;;
13;AM;2004;49;;
14;RR;2004;7;;
15;PA;2004;93;;
16;AP;2004;15;;
17;TO;2004;18;;
21;MA;2004;53;;
22;PI;2004;26;;
23;CE;2004;123;;
24;RN;2004;21;;
25;PB;2004;60;;
27;AL;2004;75;;
28;SE;2004;29;;
29;BA;2004;195;;
31;MG;2004;373;;
32;ES;2004;137;;
33;RJ;2004;506;;
35;SP;2004;861;;
41;PR;2004;249;;
42;SC;2004;79;;
43;RS;2004;195;;
50;MS;2004;55;;
51;MT;2004;99;;
52;GO;2004;142;;
53;DF;2004;52;;
11;RO;2004;33;;
12;AC;2004;10;;
13;AM;2004;49;;
14;RR;2004;7;;
15;PA;2004;93;;
16;AP;2004;15;;
17;TO;2004;18;;
21;MA;2004;53;;
22;PI;2004;26;;
23;CE;2004;123;;
